,Date,Actual,Forecast
161,2023-01-04,2625.699951171875,
162,2023-01-05,2621.60009765625,
163,2023-01-06,2596.0,
164,2023-01-09,2615.89990234375,
165,2023-01-10,2575.35009765625,
166,2023-01-11,2594.85009765625,
167,2023-01-12,2612.800048828125,
168,2023-01-13,2621.64990234375,
169,2023-01-16,2594.800048828125,
170,2023-01-17,2640.64990234375,
171,2023-01-18,2687.64990234375,
172,2023-01-19,2691.699951171875,
173,2023-01-20,2715.949951171875,
174,2023-01-23,2741.89990234375,
175,2023-01-24,2775.39990234375,
176,2023-01-25,2710.60009765625,
177,2023-01-27,2661.5,
178,2023-01-30,2648.199951171875,
179,2023-01-31,2622.949951171875,
180,2023-02-01,2661.699951171875,
181,2023-02-02,2613.300048828125,
182,2023-02-03,2694.64990234375,
183,2023-02-06,2683.14990234375,
184,2023-02-07,2679.199951171875,
185,2023-02-08,2685.800048828125,
186,2023-02-09,2673.25,
187,2023-02-10,2688.699951171875,
188,2023-02-13,2699.85009765625,
189,2023-02-14,2718.75,
190,2023-02-15,2703.89990234375,
191,2023-02-16,2700.5,
192,2023-02-17,2693.60009765625,
193,2023-02-20,2655.89990234375,
194,2023-02-21,2666.39990234375,
195,2023-02-22,2617.300048828125,
196,2023-02-23,2600.5,
197,2023-02-24,2577.14990234375,
198,2023-02-27,2592.14990234375,
199,2023-02-28,2609.449951171875,
200,2023-03-01,2618.300048828125,
201,2023-03-02,2603.10009765625,
202,2023-03-03,2646.10009765625,
203,2023-03-06,2674.75,
204,2023-03-08,2679.449951171875,
205,2023-03-09,2667.10009765625,
206,2023-03-10,2608.89990234375,
207,2023-03-13,2575.25,
208,2023-03-14,2557.449951171875,
209,2023-03-15,2528.85009765625,
210,2023-03-16,2531.60009765625,
211,2023-03-17,2564.14990234375,
212,2023-03-20,2554.699951171875,
213,2023-03-21,2580.699951171875,
214,2023-03-22,2584.199951171875,
215,2023-03-23,2569.85009765625,
216,2023-03-24,2559.89990234375,
217,2023-03-27,2561.89990234375,
218,2023-03-28,2580.14990234375,
219,2023-03-29,2603.050048828125,
220,2023-03-31,2625.5,
221,2023-04-03,2628.949951171875,
222,2023-04-05,2705.949951171875,
223,2023-04-06,2729.300048828125,
224,2023-04-10,2727.75,
225,2023-04-11,2742.0,
226,2023-04-12,2769.25,
227,2023-04-13,2786.85009765625,
228,2023-04-17,2742.050048828125,
229,2023-04-18,2723.699951171875,
230,2023-04-19,2744.800048828125,
231,2023-04-20,2743.0,
232,2023-04-21,2759.39990234375,
233,2023-04-24,2787.550048828125,
234,2023-04-25,2757.0,
235,2023-04-26,2761.449951171875,
236,2023-04-27,2772.89990234375,
237,2023-04-28,2775.60009765625,
238,2023-05-02,2790.0,
239,2023-05-03,2787.75,
240,2023-05-04,2862.050048828125,
241,2023-05-05,2702.300048828125,
242,2023-05-08,2735.60009765625,
243,2023-05-09,2750.050048828125,
244,2023-05-10,2752.64990234375,
245,2023-05-11,2767.14990234375,
246,2023-05-12,2776.300048828125,
247,2023-05-15,2784.35009765625,2784.35009765625
248,2023-05-16,,2739.85400390625
249,2023-05-17,,2731.832275390625
250,2023-05-18,,2721.953125
251,2023-05-19,,2713.75634765625
252,2023-05-20,,2718.533935546875
253,2023-05-21,,2707.844482421875
